----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 11396} 
{'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 11716} 
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 11760} 
{'name': 'sihost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 11840} 
{'name': 'servicehost.exe', 'username': None, 'pid': 12352} 
{'name': 'mcapexe.exe', 'username': None, 'pid': 12376} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 12480} 
{'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 12816} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 13264} 
{'name': 'svchost.exe', 'username': None, 'pid': 13556} 
{'name': 'svchost.exe', 'username': None, 'pid': 13640} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 13968} 
{'name': 'NisSrv.exe', 'username': None, 'pid': 13976} 
{'name': 'DesktopExtension.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 13992} 
{'name': 'HPCommRecovery.exe', 'username': None, 'pid': 14064} 
{'name': 'SynTPEnh.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 14140} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 14272} 
{'name': 'QcShm.exe', 'username': None, 'pid': 14360} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 14436} 
{'name': 'MfeBrowserHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 14816} 
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 14860} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15116} 
{'name': 'TabTip.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15404} 
{'name': 'explorer.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15460} 
{'name': 'msteams.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15628} 
{'name': 'ModuleCoreService.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15652} 
{'name': 'HPAudioSwitch.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15712} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 15848} 
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16056} 
{'name': 'svchost.exe', 'username': None, 'pid': 16132} 
{'name': 'Zoom.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16216} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16380} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16412} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16436} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16444} 
{'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16652} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16768} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 16804} 
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17068} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17156} 
{'name': 'uihost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17200} 
{'name': 'dwm.exe', 'username': None, 'pid': 17288} 
{'name': 'winlogon.exe', 'username': None, 'pid': 17440} 
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17516} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17540} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17568} 
{'name': 'csrss.exe', 'username': None, 'pid': 17644} 
{'name': 'svchost.exe', 'username': None, 'pid': 17660} 
{'name': 'XboxGameBarWidgets.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 17708} 
{'name': 'svchost.exe', 'username': None, 'pid': 17744} 
{'name': 'ctfmon.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18016} 
{'name': 'ExpressVPNNotificationService.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18020} 
